s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	time
123.3159	118.4479	112.8761	128.2664	121.7604	116.4479	120.9925	125.6338	115.6663	121.8356	118.1579	118.1287	123.4555	123.9272	111.96	114.9705	112.1911	113.8106	116.6446	115.4494	117.0093	123.8272	113.298	118.3117	113.5317	118.4975	110.0793	114.2303	114.6555	113.6679	115.7106	113.6358	114.1619	109.6437	119.4466	106.6391	115.2918	114.2016	114.6482	114.4452	0.359482049942
123.2101	118.4479	112.8761	128.2664	121.8227	116.5602	120.8758	126.2167	115.6663	121.8356	118.3375	118.0137	123.4058	124.3413	112.0822	115.0322	112.4672	113.8755	116.3552	115.7888	117.2959	124.0517	113.298	118.3117	113.5317	118.6661	110.307	114.1859	114.4279	113.8428	115.761	113.5177	114.1619	109.7147	119.4466	106.7091	115.2216	114.3713	114.8205	114.4452	0.373021125793
123.1573	118.4007	112.8242	128.4432	121.7604	116.4002	120.9234	125.9252	115.552	121.7811	118.1579	118.1287	123.5743	124.0444	111.8379	114.9705	112.5826	113.9294	116.6949	115.8825	117.179	124.0517	113.0188	118.2535	113.5317	118.6125	110.3519	114.1415	114.5417	113.7797	115.7106	113.4663	113.9339	109.7856	119.4939	106.6665	115.1306	114.2016	114.6482	114.669	0.386733055115
123.2101	118.4007	112.9279	128.3262	121.7085	116.4479	121.1093	125.9252	115.552	121.7811	118.0426	118.0617	123.5743	124.1068	112.0822	114.8617	112.3065	113.8864	116.4556	115.5626	117.179	123.7704	113.2464	118.3117	113.5317	118.444	110.3519	114.2303	114.5937	113.8915	115.761	113.5177	114.1176	109.7638	119.3992	106.5539	115.1761	114.2542	114.6482	114.669	0.400514125824
123.2101	118.4007	112.8761	128.2093	121.7604	116.4479	121.1093	125.8725	115.4376	121.8356	118.2731	118.1767	123.4555	124.1068	112.0822	114.9777	112.4672	114.0482	116.4054	115.8357	117.2959	123.9395	113.0188	118.2535	113.5317	118.551	110.3519	114.2303	114.5417	113.7797	115.6487	113.5177	114.1176	109.8839	119.4939	106.6238	115.2918	114.3186	114.6482	114.4452	0.414406061172
123.2101	118.4007	112.7068	128.2664	121.7085	116.4479	121.157	126.164	115.552	121.7811	118.2731	118.0617	123.5245	124.1068	111.8379	115.0322	112.3517	113.9294	116.4054	115.8357	117.2431	123.9395	113.2464	118.3117	113.5317	118.6661	110.307	114.1139	114.5417	113.7797	115.7106	113.5177	114.0036	109.8839	119.3519	106.5539	115.1306	114.2542	114.7012	114.3923	0.428315162659
123.3159	118.4479	112.9417	128.2664	121.7604	116.4479	120.9925	125.9252	115.6066	121.9565	118.0426	118.0617	123.5743	124.1068	112.0822	114.9161	112.4672	113.8755	116.4556	115.4961	117.2318	123.9947	113.1842	118.3117	113.6515	118.551	110.0793	114.1859	114.6555	113.7797	115.7106	113.6358	114.0479	109.5946	119.4939	106.6665	115.4075	114.3186	114.5953	114.4452	0.441821098328
123.2101	118.4479	112.9417	128.2066	121.7085	116.4002	121.0402	126.0973	115.6663	121.8356	118.1071	118.0617	123.5743	124.2788	112.0822	115.0322	112.4672	113.8755	116.5753	115.7888	117.062	123.9947	113.1326	118.2535	113.5869	118.6661	110.307	114.2303	114.4279	113.8915	115.761	113.5177	114.0479	109.8129	119.3239	106.5965	115.1306	114.5411	114.5953	114.616	0.45507311821
123.3253	118.4479	112.6411	128.4432	121.7085	116.4002	120.9925	125.9252	115.4922	121.7811	118.0426	118.0617	123.5743	124.1068	112.0822	114.9705	112.5826	114.167	116.5753	115.6757	117.1262	123.8272	113.1326	118.3117	113.6515	118.7811	110.2621	114.2303	114.4897	113.7797	115.7106	113.6358	114.0479	109.7147	119.4939	106.5539	115.1306	114.2016	114.5953	114.4452	0.469098091125
123.3783	118.3534	112.8761	128.3262	121.8746	116.4479	120.9925	125.8725	115.552	121.7146	118.2731	118.0137	123.5743	124.3413	112.1377	114.9705	112.4219	114.0482	116.525	115.7225	117.062	123.8825	113.1326	118.3117	113.5317	118.6661	110.1932	114.1859	114.5417	113.7797	115.7106	113.5177	114.1619	109.7638	119.2766	106.7517	115.2463	114.2016	114.5953	114.3923	0.483228206635
