s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39
125.3834	119.9409	113.5678	130.5527	123.9738	116.9452	121.3906	126.6945	115.8951	123.3421	118.2731	118.3398	123.762	124.6383	112.5042	114.9161	111.7999	113.9403	116.6446	115.7888	116.5418	123.4339	112.905	117.8993	113.5317	117.5778	109.5792	113.6759	114.2003	113.3472	114.326	112.3529	113.0479	109.0655	118.4653	106.5812	114.1152	113.3303	113.6416	113.8393
125.3297	119.9409	113.5678	130.6135	124.0353	116.8973	121.1093	126.7475	116.1191	123.5841	118.3884	118.4067	123.5743	124.6383	112.6263	114.9161	112.0757	113.8755	116.525	115.8825	116.6587	123.2095	113.0188	117.9574	113.5317	117.5863	109.693	113.5154	114.2003	113.3957	114.488	112.538	113.004	109.1366	118.541	106.4688	114.1152	113.3303	113.5891	113.9448
125.1607	119.7766	113.5678	130.8476	124.2639	116.7849	121.3906	126.628	115.8902	123.4631	118.3884	118.2436	123.5743	124.6383	112.5599	114.9705	111.8449	113.9294	116.5753	115.8825	116.7113	123.2662	112.8535	117.7212	113.5317	117.5246	109.5792	113.5154	114.2003	113.5075	114.4381	112.4709	112.9601	109.1855	118.6166	106.5812	113.9996	113.0964	113.6416	113.9448
125.2143	120.0575	113.7375	130.5527	124.0881	117.0576	121.226	126.5751	115.8902	123.5841	118.3375	118.3586	123.5743	124.3413	112.4485	114.7456	111.9152	113.8864	116.7642	115.8357	116.7755	123.0974	112.905	117.7812	113.5869	117.5778	109.7621	113.5154	114.1484	113.3472	114.4381	112.6399	113.1618	109.0655	118.4941	106.4688	114.1152	113.3303	113.5891	113.7802
125.3834	119.9409	113.6854	130.6697	124.0881	116.9452	121.3906	126.6945	115.8951	123.3972	118.1579	118.2436	123.5743	124.5757	112.4485	114.9777	111.9603	113.9943	116.7642	115.8357	116.7755	123.0408	113.0188	117.7812	113.5317	117.6395	109.693	113.5596	114.2003	113.5561	114.4257	112.538	113.0479	109.0655	118.4184	106.4688	113.9996	113.278	113.6416	114.0039
125.2143	119.9409	113.4501	130.7868	124.0881	116.9452	121.3906	126.814	115.7807	123.5183	118.3884	118.3586	123.5743	124.4585	112.4485	114.9161	111.9603	113.8755	116.6949	115.7888	116.7113	123.0974	113.0188	117.8993	113.5317	117.5778	109.7377	113.5154	114.1484	113.3957	114.6002	112.5889	113.004	109.0655	118.541	106.4688	114.1152	113.3826	113.6416	113.8393
125.3297	119.9409	113.7375	130.609	124.0353	117.0097	121.226	126.6945	116.1191	123.4631	118.2731	118.3586	123.7121	124.6383	112.5042	114.9161	111.6845	114.167	116.7642	115.7888	116.6587	123.1529	113.0188	117.9574	113.5317	117.5863	109.6238	113.5154	114.2003	113.3957	114.4257	112.42	113.0479	109.2344	118.3715	106.5812	113.8841	113.3303	113.6416	113.9448
125.2143	119.9409	113.5678	130.7868	124.0353	116.7849	121.3906	126.5751	115.8951	123.4631	118.1579	118.1955	123.5245	124.7009	112.5042	114.8617	111.9603	113.9943	116.6949	115.8357	116.6061	123.0974	113.0703	117.7812	113.4118	117.5246	109.5346	113.6038	114.1484	113.5075	114.4381	112.3691	113.1179	109.1855	118.6166	106.5812	113.9996	113.2134	113.5891	114.0567
125.3297	119.8931	113.7375	130.7868	124.0353	116.8973	121.226	126.6945	115.9498	123.6394	118.1579	118.2917	123.762	124.8728	112.5042	114.9161	111.8449	113.9403	116.6949	115.7888	116.8397	123.2106	113.0188	117.8393	113.5869	117.5246	109.6483	113.5154	114.2003	113.4442	114.5379	112.5889	113.0479	109.1143	118.6166	106.4688	114.1152	113.3303	113.6416	114.0039
125.3297	119.8931	113.5678	130.4357	124.0881	117.0576	121.3906	126.5751	116.2335	123.4631	118.1579	118.3105	123.9306	124.7556	112.5599	114.8617	112.0054	113.7677	116.7452	115.8357	116.6587	123.0408	112.9673	117.8993	113.5869	117.6395	109.693	113.5596	114.1484	113.3472	114.326	112.42	113.004	109.0655	118.4941	106.4688	113.9996	113.2134	113.5891	113.7802
125.2143	119.9409	113.6198	130.5527	124.0353	116.9452	121.4384	126.628	115.8951	123.408	118.3884	118.4067	123.6432	124.6383	112.4485	115.0322	112.1209	113.9294	116.6255	115.8825	116.6587	123.1529	113.0188	117.9574	113.5317	117.5246	109.693	113.5596	114.2003	113.3957	114.4381	112.4709	113.0918	109.1855	118.4941	106.4262	114.1152	113.3303	113.5891	113.892
125.3834	119.9409	113.6198	130.6697	124.2024	116.8973	121.4384	126.5222	116.0094	123.5841	118.2731	118.2436	123.5743	124.8728	112.4485	114.9161	111.9603	113.8755	116.6446	115.742	116.8282	123.2662	113.0188	118.1936	113.5869	117.5778	109.5792	113.5596	114.2003	113.4442	114.4257	112.4709	113.004	108.9455	118.588	106.4688	113.9996	113.1611	113.5891	113.892
125.268	119.9409	113.5678	130.6697	124.0881	117.0097	121.4384	126.628	115.8951	123.5841	118.3884	118.2436	123.6931	124.5757	112.4485	114.7456	111.9603	113.8864	116.6446	115.8357	116.7755	123.2095	113.0188	117.9574	113.5869	117.8077	109.5346	113.6759	114.3141	113.3957	114.6002	112.5219	113.0479	109.0655	118.3715	106.3563	114.1152	113.3826	113.6416	113.9448
125.2143	119.7288	113.6854	130.6697	124.2024	116.7849	121.3906	126.5222	115.7807	123.7604	118.3884	118.2436	123.5743	124.6383	112.4485	114.8617	112.1209	114.059	116.525	115.8357	116.7755	123.2095	113.0188	117.9574	113.5317	117.5778	109.5792	113.5596	114.2003	113.3472	114.3758	112.4709	113.1618	109.1366	118.4471	106.5812	114.1152	113.0442	113.6416	113.892
125.3834	119.9409	113.6854	130.6697	124.0881	116.8973	121.2738	126.4556	115.9498	123.5841	118.3884	118.4549	123.5743	124.8101	112.4485	114.9161	111.8449	114.167	116.6949	115.8357	116.6587	123.1529	113.0703	117.7212	113.5317	117.6927	109.6238	113.6317	114.2003	113.3957	114.3758	112.4709	112.9601	109.1143	118.541	106.4688	114.1152	113.3826	113.5891	113.892
125.3912	119.8244	113.5678	130.6697	124.0881	116.8328	121.4384	126.6416	116.0094	123.4631	118.1071	118.2436	123.5743	124.5757	112.5706	114.9161	111.8449	114.059	116.7642	115.8357	116.8924	123.2662	112.9673	117.7812	113.5317	117.6395	109.693	113.6317	114.2003	113.5561	114.488	112.5889	113.0918	109.0655	118.4941	106.4688	113.9996	113.3303	113.5891	113.9448
125.099	120.0575	113.6198	130.6697	124.2024	116.9452	121.4384	126.6416	115.8354	123.4631	118.2731	118.3586	123.9306	124.6383	112.6263	114.8617	111.9603	113.8864	116.7642	115.8357	116.7113	123.2095	113.0188	117.9574	113.5317	117.6927	109.7377	113.5596	114.1484	113.3957	114.4381	112.6909	113.1618	109.1855	118.6166	106.5812	113.9996	113.3303	113.6416	114.0039
125.5603	120.0575	113.5678	130.7305	124.0353	117.0097	121.4384	126.814	115.8951	123.5289	118.3884	118.2436	123.5743	124.5757	112.5706	114.8617	111.9603	113.9403	116.6446	115.8357	116.9451	123.0974	113.0188	118.0174	113.4118	117.5778	109.693	113.6317	114.1484	113.3957	114.3758	112.42	113.0479	109.1143	118.6636	106.5812	113.9996	113.3303	113.6416	114.0039
125.2143	119.9409	113.5678	130.6697	124.0353	116.8973	121.3428	126.6416	116.1191	123.5841	118.2223	118.3398	123.5743	124.6383	112.5042	114.8617	112.1209	113.8216	116.5753	115.8357	116.8282	123.3217	113.0188	117.9574	113.5317	117.7545	109.6483	113.6317	114.2003	113.5075	114.488	112.4038	112.9339	109.0167	118.6636	106.5812	114.1152	113.0442	113.5891	113.892
125.268	119.8931	113.7375	130.7305	124.4311	116.9452	121.3906	126.5751	116.0642	123.7051	118.2731	118.1287	123.6432	124.5757	112.5042	114.8617	111.89	113.7567	116.5753	115.8357	116.7755	123.0408	113.0188	118.0755	113.5317	117.6395	109.5792	113.6038	114.2003	113.5561	114.5379	112.4709	113.0479	108.9455	118.541	106.5812	114.1152	113.1486	113.5891	113.8393
125.3297	119.9409	113.6854	130.6697	124.3167	116.8973	121.3428	126.6945	115.8902	123.7051	118.2731	118.2436	123.5743	124.6383	112.4485	114.9161	111.9152	113.9403	116.5753	115.8825	116.8924	123.0974	113.0188	117.8993	113.5317	117.5246	109.693	113.6317	114.0865	113.3957	114.4381	112.4709	113.1179	109.0655	118.4941	106.4688	113.9996	113.0442	113.6416	113.892
125.276	120.0575	113.5678	130.6697	124.0881	116.9452	121.3906	126.5751	116.0094	123.7051	118.3884	118.2436	123.6931	124.5757	112.6263	114.9161	112.0054	113.9943	116.6949	115.8357	116.8282	123.2095	113.0188	117.8393	113.5317	117.5778	109.6483	113.5154	114.1484	113.4442	114.5379	112.4709	113.1618	109.0655	118.5696	106.5812	113.8841	113.1089	113.6416	114.0039
125.2143	119.8244	113.6198	130.6697	124.2024	116.8328	121.3428	126.5751	115.9498	123.7051	118.3884	118.2436	123.4555	124.6383	112.5706	114.9777	112.0305	113.9943	116.5753	115.8357	116.7755	123.0974	113.0188	117.8993	113.5317	117.5778	109.7621	113.6759	114.1484	113.5075	114.7001	112.4709	112.9339	108.9455	118.4941	106.5385	114.1152	113.3826	113.6416	113.892
125.3834	119.9409	113.5678	130.6697	124.0353	116.9452	121.3906	126.6945	116.0094	123.7051	118.3884	118.3586	123.5743	124.521	112.5706	114.8617	111.9603	114.113	116.6446	115.8357	116.8924	123.1529	113.0188	117.8393	113.4118	117.6927	109.8068	113.6317	114.1484	113.3957	114.488	112.5889	113.1618	109.0655	118.4941	106.5812	114.1152	113.3826	113.5891	113.892
125.3297	119.8931	113.5678	130.7305	124.3167	116.9452	121.3428	126.6945	115.9498	123.7051	118.3884	118.3586	123.7121	124.5757	112.4485	114.9161	111.9603	114.059	116.7452	115.7888	116.6587	123.4339	113.1326	117.8393	113.4118	117.6927	109.693	113.6759	114.2003	113.5075	114.3758	112.6909	113.2497	109.1855	118.541	106.5812	113.9996	113.0964	113.5891	113.9448
125.3297	119.7766	113.5678	130.7305	124.3167	116.7849	121.3428	126.5751	115.9498	123.7051	118.3884	118.2917	123.6931	124.4585	112.6263	115.0322	111.9603	113.9403	116.6949	115.6757	116.7755	123.2095	113.0188	117.9574	113.5317	117.5778	109.5792	113.6759	114.2003	113.3472	114.6002	112.42	113.0479	109.0655	118.541	106.4688	114.1152	113.2134	113.5891	114.0039
