s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39
125.3297	119.9409	113.5678	130.7868	124.0881	117.0576	121.3216	126.6945	115.8951	123.7051	118.5036	118.3105	123.9306	124.8101	112.5706	115.0322	111.9152	114.059	116.6949	115.8357	116.8924	123.3217	113.0188	117.9574	113.4765	117.8077	109.8516	113.6759	114.3141	113.2987	114.7124	112.6399	113.1179	109.1855	118.6636	106.6936	114.2307	113.4996	113.7608	114.0567
125.3297	119.9409	113.6854	130.6697	124.0881	116.9452	121.3428	126.814	116.0642	123.7051	118.5036	118.3105	123.9306	124.8101	112.6263	115.0867	112.0757	113.9403	116.7642	115.8357	116.9451	123.4906	113.0188	117.8393	113.5869	117.6395	109.7621	113.6317	114.3141	113.5075	114.5502	112.6399	113.1618	109.1855	118.6166	106.4688	114.2307	113.4473	113.7608	114.1685
125.3297	119.9409	113.7896	130.6697	124.0353	117.0097	121.3428	126.7475	116.0642	123.7051	118.5036	118.3586	123.8807	124.5757	112.6263	114.9705	112.0757	113.9943	116.8838	115.8357	116.9451	123.4339	113.0188	117.9574	113.5869	117.7545	109.8516	113.5154	114.2622	113.6193	114.7124	112.4709	113.1179	109.1855	118.6636	106.6238	114.2307	113.4996	113.7608	114.0567
125.3834	119.8931	113.5678	130.6697	124.0881	117.0097	121.4384	126.7475	116.0642	123.7051	118.3884	118.3586	123.9306	124.5757	112.6263	114.9161	111.9603	113.8864	116.7138	115.8357	116.8924	123.4339	113.0188	117.8393	113.5869	117.6395	109.6238	113.6759	114.3141	113.6679	114.6002	112.5889	113.004	109.3545	118.7862	106.4688	114.3463	113.2656	113.7608	114.0039
125.3834	119.9409	113.6854	130.6697	124.3781	117.0097	121.3906	126.6416	116.2335	123.7051	118.3884	118.3586	123.9306	124.6383	112.4485	114.9777	112.1209	114.113	116.525	115.8357	116.9451	123.3217	113.0188	117.9574	113.642	117.7545	109.8068	113.5596	114.2003	113.5561	114.6624	112.5889	113.1618	109.2344	118.6636	106.5812	114.2307	113.4473	113.7608	114.1685
125.268	119.8931	113.6198	130.7868	124.0881	117.0097	121.3428	126.6945	116.2335	123.7051	118.3884	118.1955	123.8119	124.6383	112.5706	114.8617	111.9603	113.9943	116.8145	115.8357	116.9451	123.4906	113.0188	117.9574	113.5869	117.8077	109.6238	113.5154	114.4279	113.6679	114.7124	112.5889	112.9601	109.0655	118.6166	106.5812	114.2307	113.3303	113.7608	114.1157
125.268	119.9409	113.5678	130.609	123.9825	116.9617	121.3906	126.6945	115.9498	123.7051	118.4527	118.6368	123.9306	124.8101	112.6263	115.0322	112.0757	114.167	116.7642	115.8357	116.8924	123.3771	113.0188	117.9574	113.5317	117.6395	109.693	113.6759	114.2003	113.6679	114.6002	112.42	113.0918	109.0655	118.6166	106.5812	114.2307	113.3949	113.7608	114.1157
125.268	119.9409	113.7375	130.6697	124.0353	117.0576	121.4384	126.6945	116.1191	123.7051	118.5036	118.4736	123.9306	124.5757	112.6263	114.9161	111.9603	113.9943	116.8145	115.8357	116.8924	123.4339	113.0703	118.1936	113.5869	117.8077	109.693	113.6317	114.1484	113.5561	114.6002	112.6399	113.1618	109.0655	118.7862	106.4688	114.2759	113.4473	113.6942	114.1685
125.3834	120.0575	113.5678	130.6697	124.0881	117.0576	121.3906	126.7475	116.1238	123.7604	118.5036	118.3586	123.9306	124.5757	112.5706	114.9161	112.0757	113.9403	116.6446	115.8357	116.9451	123.4339	113.1326	117.9574	113.5869	117.6395	109.5792	113.6317	114.3141	113.3957	114.6002	112.7069	113.1618	109.1855	118.6166	106.5812	114.2307	113.4473	113.7608	114.1685
125.4988	119.9409	113.6854	130.609	124.0353	116.9452	121.3906	126.7475	116.1191	123.7051	118.5036	118.4736	123.8119	124.7556	112.5042	115.0867	111.9603	113.9943	116.8145	115.8825	116.8282	123.3217	113.0188	118.1354	113.4118	117.6927	109.6483	113.5154	114.2003	113.6679	114.4381	112.5889	113.1618	109.0655	118.6166	106.6936	114.2307	113.4473	113.6416	114.0567
125.3297	119.9409	113.6854	130.7868	124.0881	117.0576	121.3428	126.6945	116.0642	123.7051	118.5036	118.3105	123.9306	124.9356	112.5042	114.9705	112.0054	113.9403	116.7138	115.9489	116.8397	123.4339	113.0188	117.8993	113.5869	117.8077	109.7377	113.6759	114.3141	113.6679	114.6624	112.758	113.1618	109.0655	118.6166	106.5812	114.2307	113.4473	113.8274	114.1157
125.3297	119.9409	113.5678	130.7868	124.0881	117.0576	121.3906	126.7475	116.1191	123.7051	118.5036	118.5218	123.8807	124.8101	112.6263	114.9161	112.0757	113.9943	116.7642	115.8357	116.8282	123.3217	113.0703	117.9574	113.5317	117.6395	109.6238	113.6317	114.2003	113.4589	114.488	112.5889	113.1179	109.1366	118.7862	106.4688	114.2307	113.4473	113.7608	114.0567
125.2143	120.0575	113.5678	130.7868	124.0881	117.0576	121.4384	126.7475	116.1191	123.7051	118.5036	118.4067	124.0494	124.8101	112.6263	114.8617	112.1209	114.113	116.8145	115.9489	116.9451	123.4339	112.9673	117.9574	113.5317	117.7545	109.693	113.6759	114.2622	113.4589	114.6501	112.6399	113.0479	109.1366	118.7392	106.4688	114.2307	113.3949	113.88	114.1157
125.268	119.9409	113.5678	130.7868	123.9825	117.0576	121.3906	126.6416	116.1191	123.5841	118.5036	118.3105	123.9306	124.8728	112.5706	114.9705	111.9603	113.9943	116.9342	115.8357	116.9451	123.4906	113.0188	117.9574	113.5317	117.8694	109.693	113.5596	114.1484	113.5706	114.6624	112.4709	113.0918	109.3055	118.6636	106.6238	114.3463	113.4473	113.7082	114.0567
125.3297	119.9409	113.5678	130.6697	124.0353	117.0097	121.3906	126.6945	116.0642	123.7051	118.4527	118.3586	123.8807	124.5757	112.5042	115.0322	111.9603	113.9403	116.8145	115.8357	116.8924	123.3217	113.0703	117.7212	113.5317	117.861	109.6483	113.6759	114.1484	113.5075	114.6501	112.5889	113.0479	109.0655	118.7106	106.5812	114.2307	113.3949	113.7608	114.0039
125.5603	119.8931	113.6854	130.8476	124.0881	117.0576	121.3428	126.6945	116.1191	123.7051	118.3884	118.4067	123.9306	124.7009	112.6263	114.9705	111.9152	113.9943	116.9342	115.8825	116.8924	123.4906	113.0188	117.8993	113.5317	117.9227	109.693	113.7202	114.2003	113.3957	114.6002	112.7069	113.1618	109.3055	118.6636	106.5812	114.3463	113.4996	113.7608	114.1157
125.3297	120.0096	113.4501	130.7305	124.0881	117.0576	121.3906	126.867	115.9498	123.7051	118.5036	118.4067	123.8119	124.7009	112.6263	115.2028	112.0757	113.9943	116.8838	115.8357	116.9451	123.2662	113.0188	117.8993	113.5317	117.6927	109.7377	113.5154	114.3141	113.5706	114.7624	112.5219	113.004	109.0655	118.6636	106.5812	114.2307	113.3426	113.7082	114.0567
125.3834	119.9409	113.6854	130.7305	124.0881	117.0097	121.3906	126.867	116.0046	123.7051	118.5036	118.3586	123.9306	124.8101	112.4485	114.9777	112.0054	113.9943	116.7138	115.8357	116.8924	123.4339	113.0188	117.9574	113.642	117.8077	109.693	113.5154	114.3141	113.6679	114.6002	112.5889	113.1618	109.1855	118.6166	106.6238	114.1152	113.278	113.7608	114.1685
125.2143	119.9409	113.5678	130.7868	124.0353	117.0097	121.3906	126.867	116.0094	123.7051	118.3375	118.3105	123.8807	124.8101	112.5599	114.9161	112.1209	113.9943	116.8838	115.7888	116.9451	123.3217	113.0188	117.9574	113.5317	117.8694	109.8516	113.6759	114.1484	113.5075	114.7124	112.758	113.2058	109.1143	118.6636	106.5812	114.1152	113.4473	113.7608	114.0039
125.445	120.0575	113.6854	130.7868	124.1496	117.17	121.4384	126.867	116.1191	123.7051	118.5036	118.5218	123.8807	124.8728	112.5706	114.8617	112.0757	113.9943	116.9342	115.9489	116.7755	123.3784	113.0188	117.9574	113.5869	117.6927	109.7377	113.5596	114.3141	113.5075	114.7124	112.5889	113.1618	109.1855	118.6636	106.5812	114.3463	113.4473	113.8134	114.1157
125.445	119.9409	113.5678	130.7868	124.0353	117.0097	121.3428	126.7475	116.1191	123.7051	118.5036	118.4067	123.8807	124.8101	112.6263	114.9161	112.1209	113.9403	116.9342	115.8357	116.9451	123.4339	113.1326	118.1936	113.5317	117.8077	109.6238	113.6759	114.3141	113.6193	114.7624	112.4709	113.0479	109.2344	118.7862	106.6936	114.2307	113.4473	113.7608	114.1685
125.3297	120.0575	113.6198	130.6697	124.0881	117.0097	121.3906	126.6945	116.1786	123.7051	118.5036	118.4254	123.9306	124.8101	112.6263	114.9777	112.0757	113.9403	116.9342	115.8357	116.9451	123.4339	113.0703	117.8993	113.5869	117.7545	109.8068	113.6317	114.3141	113.6193	114.6501	112.5889	113.1618	109.0655	118.7106	106.7363	114.2307	113.3826	113.7082	114.2214
125.2143	119.9409	113.7896	130.7868	124.0881	117.0576	121.3906	126.6945	116.0094	123.8157	118.5036	118.3586	123.8807	124.8101	112.6263	114.9161	112.1209	113.8864	116.9342	115.8357	116.8924	123.3217	113.0188	117.9574	113.5869	117.9227	109.6483	113.6759	114.2622	113.5075	114.7124	112.809	113.0918	109.1855	118.7106	106.5812	114.2307	113.4996	113.7608	114.0567
125.2143	119.9409	113.6198	130.6697	124.0881	117.0576	121.4384	126.814	116.1191	123.7051	118.5036	118.4067	123.9306	124.8728	112.6263	115.0322	112.1209	113.9943	116.8145	115.8357	116.9451	123.3771	113.0188	118.1354	113.6515	117.8694	109.5792	113.7923	114.2003	113.5561	114.7124	112.6399	113.1179	109.1855	118.7862	106.4688	114.2307	113.4996	113.7608	114.1095
125.3297	119.9409	113.7375	130.7868	124.0881	116.9452	121.4384	126.628	116.0094	123.8261	118.5036	118.5218	123.8807	124.7474	112.5706	114.8617	112.1209	114.0482	116.8838	115.7888	116.8924	123.2095	113.0188	117.9574	113.7067	117.8077	109.693	113.6759	114.3141	113.5561	114.6624	112.4709	113.2058	109.1855	118.7392	106.5812	114.2307	113.4996	113.7608	114.1157
125.3297	119.9409	113.803	130.8476	124.0881	116.9617	121.3906	126.6945	116.0642	123.7604	118.5036	118.3586	123.6432	124.8728	112.6263	114.9161	112.1209	114.005	116.6949	115.8357	116.9451	123.4906	113.0188	117.9574	113.642	117.8077	109.7377	113.7202	114.3141	113.6193	114.8124	112.4709	113.0479	109.1855	118.8333	106.5812	114.2759	113.4473	113.7608	113.892
125.4988	120.0575	113.5678	130.7305	124.2024	117.0576	121.3906	126.6945	116.0094	123.7051	118.5036	118.3586	123.6931	124.8728	112.6263	115.0322	112.1209	113.9403	116.8145	115.9489	117.062	123.4339	113.0188	117.8993	113.5869	117.8694	109.7377	113.5154	114.3141	113.6679	114.6002	112.5219	113.0918	109.0655	118.8333	106.5812	114.2307	113.4473	113.88	113.9448
125.3297	120.1053	113.6719	130.7305	124.3167	117.0097	121.3428	126.7475	116.0642	123.5841	118.5036	118.3586	123.8807	124.8728	112.5042	115.0867	111.9152	114.113	116.9342	115.8825	116.9451	123.3217	113.0188	117.9574	113.5869	117.6927	109.8516	113.5596	114.2003	113.5561	114.7124	112.5889	113.1618	109.2344	118.7106	106.5812	114.2307	113.4473	113.7608	114.1157
125.5603	119.9409	113.6198	130.6697	124.0881	117.0576	121.3906	126.7475	116.0642	123.7051	118.5036	118.4254	123.8807	124.8101	112.4485	114.9705	111.9603	113.9943	116.8649	115.8357	116.8924	123.4351	113.0703	117.8993	113.5317	117.8077	109.7377	113.6317	114.3141	113.6193	114.7624	112.5889	113.0479	109.1143	118.6166	106.5812	114.1152	113.3949	113.7608	113.892
